Time,X,Y
2.345833333333333570e+01,3.349513244628906250e+02,2.878850097656250000e+02
2.350000000000000000e+01,2.763825683593750000e+02,3.243330688476562500e+02
2.354166666666666785e+01,3.108765563964843750e+02,2.958801574707031250e+02
2.358333333333333570e+01,2.681619567871093750e+02,3.191449584960937500e+02
2.362500000000000000e+01,3.083536987304687500e+02,2.974920654296875000e+02
2.366666666666666785e+01,2.713930053710937500e+02,3.244735717773437500e+02
2.370833333333333570e+01,3.145336914062500000e+02,3.009290466308593750e+02
2.375000000000000000e+01,2.756799926757812500e+02,3.268595275878906250e+02
2.379166666666666785e+01,3.154993896484375000e+02,3.022450561523437500e+02
2.383333333333333570e+01,3.162591857910156250e+02,3.018952941894531250e+02
2.387500000000000000e+01,3.355227355957031250e+02,2.895139160156250000e+02
2.391666666666666785e+01,3.452747192382812500e+02,2.893385009765625000e+02
2.395833333333333570e+01,3.361535339355468750e+02,2.893040161132812500e+02
2.400000000000000000e+01,3.473136291503906250e+02,2.895918884277343750e+02
2.404166666666666785e+01,3.467901306152343750e+02,2.910393676757812500e+02
2.408333333333333570e+01,3.473115234375000000e+02,2.895683593750000000e+02
2.412500000000000000e+01,3.534619140625000000e+02,2.923288879394531250e+02
2.416666666666666785e+01,3.282631835937500000e+02,2.903272399902343750e+02
2.420833333333333570e+01,3.260363464355468750e+02,2.909724121093750000e+02
2.425000000000000000e+01,3.264113159179687500e+02,2.914909973144531250e+02
2.429166666666666785e+01,3.252345275878906250e+02,2.913038330078125000e+02
2.433333333333333570e+01,2.734314575195312500e+02,3.211839294433593750e+02
2.437500000000000000e+01,2.730413208007812500e+02,3.186170959472656250e+02
2.441666666666666785e+01,2.731955261230468750e+02,3.176367492675781250e+02
2.445833333333333570e+01,3.145710754394531250e+02,3.019267272949218750e+02
2.450000000000000000e+01,3.164705810546875000e+02,3.030823059082031250e+02
2.454166666666666785e+01,3.156092529296875000e+02,3.053389587402343750e+02
2.458333333333333570e+01,3.252886352539062500e+02,2.895553283691406250e+02
2.462500000000000000e+01,3.306859741210937500e+02,2.885872497558593750e+02
2.466666666666666785e+01,3.468004455566406250e+02,2.906365661621093750e+02
2.470833333333333570e+01,3.339666137695312500e+02,2.888788452148437500e+02
2.475000000000000000e+01,3.514857788085937500e+02,2.905257568359375000e+02
2.479166666666666785e+01,3.569036865234375000e+02,2.919479370117187500e+02
2.483333333333333570e+01,3.500305175781250000e+02,2.908662719726562500e+02
2.487500000000000000e+01,3.514468994140625000e+02,2.905643005371093750e+02
2.491666666666666785e+01,3.515726623535156250e+02,2.912875366210937500e+02
2.495833333333333570e+01,3.269888610839843750e+02,2.871144409179687500e+02
2.500000000000000000e+01,3.271027526855468750e+02,2.863928833007812500e+02
2.504166666666666785e+01,3.150158996582031250e+02,3.045665283203125000e+02
2.508333333333333570e+01,2.734651184082031250e+02,3.191056213378906250e+02
2.512500000000000000e+01,3.130650024414062500e+02,3.040843200683593750e+02
2.516666666666666785e+01,2.722584838867187500e+02,3.187950744628906250e+02
2.520833333333333570e+01,3.130892333984375000e+02,3.055587768554687500e+02
2.525000000000000000e+01,2.744803771972656250e+02,3.221908264160156250e+02
2.529166666666666785e+01,3.149961853027343750e+02,3.079133911132812500e+02
2.533333333333333570e+01,3.288119506835937500e+02,2.880020446777343750e+02
2.537500000000000000e+01,3.200816040039062500e+02,3.082694091796875000e+02
2.541666666666666785e+01,3.295269470214843750e+02,2.866951904296875000e+02
2.545833333333333570e+01,3.526154479980468750e+02,2.929874877929687500e+02
2.550000000000000000e+01,3.490685729980468750e+02,2.930136108398437500e+02
2.554166666666666785e+01,3.553819885253906250e+02,2.932883911132812500e+02
2.558333333333333570e+01,3.291845092773437500e+02,2.872605590820312500e+02
2.562500000000000000e+01,3.280589599609375000e+02,2.868975830078125000e+02
2.566666666666666785e+01,3.277568664550781250e+02,2.864998779296875000e+02
2.570833333333333570e+01,3.135886840820312500e+02,3.086434631347656250e+02
2.575000000000000000e+01,3.264910278320312500e+02,2.865622558593750000e+02
2.579166666666666785e+01,3.139497680664062500e+02,3.103401184082031250e+02
2.583333333333333570e+01,2.607084960937500000e+02,3.056970520019531250e+02
2.587500000000000000e+01,2.811912231445312500e+02,2.924008483886718750e+02
2.591666666666666785e+01,2.809878540039062500e+02,2.926705932617187500e+02
2.595833333333333570e+01,2.819918212890625000e+02,2.927230224609375000e+02
2.600000000000000000e+01,2.700943908691406250e+02,3.013228149414062500e+02
2.604166666666666785e+01,3.139100952148437500e+02,3.109993591308593750e+02
2.608333333333333570e+01,3.146335754394531250e+02,3.125813293457031250e+02
2.612500000000000000e+01,3.149726867675781250e+02,3.141546020507812500e+02
2.616666666666666785e+01,3.285604858398437500e+02,2.856105651855468750e+02
2.620833333333333570e+01,3.309143981933593750e+02,2.858945922851562500e+02
2.625000000000000000e+01,3.317117614746093750e+02,2.863059692382812500e+02
2.629166666666666785e+01,3.497755126953125000e+02,2.926164550781250000e+02
